episode,reward,td_error,epsilon,hops,delay_ms,dropped,avg_util
222,-3.7,0.26538635017774037,0.994916753075309,8,27.0,0.0,0.038461538461538464
223,-3.0999999999999996,0.27067873764907024,0.9948837223188817,8,21.0,0.0,0.02769230769230769
224,-3.4000000000000004,0.2640526354942349,0.9948506926590596,8,24.0,0.0,0.02692307692307693
225,0.30000000000000004,0.3796400784999999,0.9948424354154444,2,7.0,0.0,0.010384615384615384
226,-3.5000000000000004,0.2752925604389059,0.9948094071263276,8,25.0,0.0,0.04653846153846154
227,0.0,0.21354765092819997,0.9947970218006082,3,10.0,0.0,0.010384615384615384
228,-2.6000000000000005,0.3537093906800559,0.9947639950192017,8,16.0,0.0,0.07500000000000001
229,-0.5000000000000001,0.1330651146885888,0.9947392256527092,6,15.0,0.0,0.04615384615384615
230,0.8,0.5831999999999999,0.9947350974849228,1,2.0,0.0,0.0023076923076923075
231,-3.8,0.23189935279204643,0.9947020727593736,8,28.0,0.0,0.06923076923076922
232,-3.1,0.2808957729132,0.9946690491302294,8,21.0,0.0,0.04153846153846154
233,0.4,0.3155455423724,0.9946607933942523,2,6.0,0.0,0.00923076923076923
234,0.6,0.25828032599999995,0.9946566655519598,1,4.0,0.0,0.0019230769230769232
235,-0.3999999999999999,0.216953089391079,0.9946360265974536,5,14.0,0.0,0.02076923076923077
236,-2.7,0.19857588553431116,0.9946030051610102,8,17.0,0.0,0.03807692307692308
237,0.2,0.11956477716000001,0.994594749973197,2,8.0,0.0,0.012692307692307694
238,-3.9000000000000004,0.37142121371369524,0.9945617299071176,8,29.0,0.0,0.06769230769230769
239,-3.4000000000000004,0.29758061604604485,0.9945287109372883,8,24.0,0.0,0.04846153846153846
240,-1.4000000000000001,0.20511105775456162,0.994495693063673,8,24.0,0.0,0.023076923076923075
241,-3.7,0.30905358121943427,0.9944626762862351,8,27.0,0.0,0.05884615384615385
242,0.9,0.6560999999999999,0.9944585492661285,1,1.0,0.0,0.006153846153846154
243,-2.9,0.2049181596788332,0.9944255337218467,8,19.0,0.0,0.038461538461538464
244,-0.6000000000000002,0.141183194636,0.9944048995632863,5,16.0,0.0,0.010384615384615384
245,-0.7,0.27757826415428205,0.9943801391381779,6,17.0,0.0,0.033846153846153845
246,0.09999999999999987,0.24753918786035173,0.9943636325306222,4,9.0,0.0,0.013461538461538462
247,0.4,0.26244,0.9943595059215472,1,6.0,0.0,0.006538461538461539
248,-0.6999999999999998,0.2516040919750068,0.9943264936654568,8,17.0,0.0,0.02769230769230769
249,-3.7,0.3377466456426914,0.9942934825053574,8,27.0,0.0,0.05923076923076923
250,0.8,0.52488,0.9942893561874051,1,2.0,0.0,0.004615384615384615
251,-1.2000000000000002,0.16744588225836574,0.9942604724412125,7,22.0,0.0,0.0376923076923077
252,-1.1,0.18793678987744328,0.9942274634729859,8,21.0,0.0,0.030769230769230767
253,0.09999999999999987,0.147345629454477,0.9942150853924349,3,9.0,0.0,0.00923076923076923
254,-3.9000000000000004,0.288126319719143,0.9941820779310362,8,29.0,0.0,0.033846153846153845
255,-3.1,0.2692736899738606,0.9941490715654695,8,21.0,0.0,0.03461538461538461
256,-3.1,0.2311763585825788,0.9941160662956983,8,21.0,0.0,0.024615384615384615
257,-0.6000000000000001,0.13556037826727252,0.9940995640717245,4,16.0,0.0,0.013461538461538462
258,-2.9000000000000004,0.21094887130024834,0.9940665604455781,8,19.0,0.0,0.04615384615384616
259,-4.1,0.25212914341477033,0.9940335579151361,8,31.0,0.0,0.03076923076923077
260,-1.5,0.3903775332711888,0.9940129318900064,5,25.0,0.0,0.013846153846153845
261,0.09999999999999998,0.25651533981554553,0.9940005564803626,3,9.0,0.0,0.013461538461538462
262,-1.0000000000000002,0.2988278886580188,0.9939716811236972,7,20.0,0.0,0.05769230769230768
263,0.10000000000000009,0.22492952603705096,0.9939593062276233,3,9.0,0.0,0.015384615384615385
264,0.7,0.41334299999999996,0.9939551812965025,1,3.0,0.0,0.004615384615384615
265,-0.8999999999999999,0.17731537122916247,0.9939263072579697,7,19.0,0.0,0.051923076923076926
266,0.10000000000000009,0.18263182104,0.993913932926798,3,9.0,0.0,0.012307692307692308
267,-3.4000000000000004,0.23932621795522446,0.9938809354635161,8,24.0,0.0,0.05076923076923078
268,0.8,0.52488,0.9938768108576339,1,2.0,0.0,0.006153846153846154
269,0.9,0.43046720999999993,0.9938726862688688,1,1.0,0.0,0.006153846153846154
270,-2.2,0.16179651987863938,0.993839690174956,8,32.0,0.0,0.02538461538461539
271,-3.2,0.26217738540438246,0.9938066951764979,8,22.0,0.0,0.03461538461538462
272,-3.5,0.3254964801349355,0.9937737012734577,8,25.0,0.0,0.04615384615384615
273,-3.4000000000000004,0.3246168096519343,0.9937407084657992,8,24.0,0.0,0.05076923076923078
274,-4.0,0.2608390920865248,0.9937077167534859,8,30.0,0.0,0.036923076923076927
275,-3.6,0.28065824235586984,0.9936747261364816,8,26.0,0.0,0.05384615384615386
276,-1.3,0.2077647632658578,0.9936499838925028,6,23.0,0.0,0.03692307692307692
277,-3.3,0.2359791797502519,0.9936169951922015,8,23.0,0.0,0.031153846153846157
278,-3.0999999999999996,0.2535542242367167,0.9935840075871091,8,21.0,0.0,0.050769230769230775
279,0.7,0.37200869999999997,0.9935798842134776,1,3.0,0.0,0.003461538461538461
280,0.10000000000000009,0.228278961353353,0.9935675141952549,3,9.0,0.0,0.013846153846153845
281,-3.3,0.30662473105145793,0.9935345282329079,8,23.0,0.0,0.025000000000000005
282,-3.0,0.28639607020965174,0.9935015433656788,8,20.0,0.0,0.05076923076923076
283,-3.6,0.31878123596036556,0.9934685595935313,8,26.0,0.0,0.024230769230769236
284,-3.6999999999999993,0.22730469376421986,0.9934355769164293,8,27.0,0.0,0.02153846153846154
285,0.30000000000000004,0.15055014942,0.9934273314182503,2,7.0,0.0,0.006923076923076922
286,-0.20000000000000007,0.29027678721005995,0.9934149632993021,3,12.0,0.0,0.023076923076923075
287,-1.3,0.0840064133496697,0.9933902275233509,6,23.0,0.0,0.025384615384615387
288,-0.4,0.15919873417213165,0.9933696148472159,5,14.0,0.0,0.02769230769230769
289,0.49999999999999994,0.30834158693854863,0.993361369896521,2,5.0,0.0,0.006923076923076922
