episode,reward,loss,epsilon,hops,delay_ms,dropped,avg_util,avg_q_util,buf_size,buf_fill_pct,beta,mean_prio
163,1.0112226384988425,0.07442053407430649,0.9901859611919557,1,8.089706467928394,0.0,0.05538763095601839,0.14234800464997524,815,4.075,0.401575,0.3634094297885895
164,0.33140655039556777,0.07967168465256691,0.9900005534358302,6,35.057235313644824,1.0,0.01153456455749728,0.02812786849701737,821,4.105,0.4015925,0.3359072804450989
165,-3.7176855797035646,0.0756541181887899,0.989784288264672,7,43.39556359882121,1.0,0.09278555245418399,0.04082271436471975,828,4.14,0.40162500000000007,0.35424950293132235
166,1.0097409160547202,0.13637012243270874,0.9897533970970354,1,7.63142737326781,0.0,0.03579429300188082,0.07248922120339413,829,4.1450000000000005,0.40164500000000003,0.3901107907295227
167,1.0267366197683994,0.11887367069721222,0.989722506893512,1,6.281148330763771,0.0,0.0756760579198876,0.12936473018005148,830,4.15,0.40165,0.3716103434562683
168,1.0082514281584802,0.04059676453471184,0.989691617654072,1,6.647786729409448,0.0,0.05568535749278207,0.07532123689883007,831,4.154999999999999,0.40165500000000004,0.3714161217212677
169,0.7574643937306597,0.08086393152674039,0.9895989557199504,3,7.168936323980297,1.0,0.036450428768285595,0.07140277712092223,834,4.17,0.401665,0.3721212645371755
170,-0.5611824269042208,0.08647074426213901,0.9894136578778929,6,38.836188379473114,1.0,0.03514683616131613,0.04117118462374018,840,4.2,0.40168750000000003,0.344758207599322
171,1.0173646282041786,0.08986065536737442,0.9893827782776307,1,2.9825333677770605,0.0,0.05568901203011712,0.13098685056298628,841,4.205,0.40170500000000003,0.33350539207458496
172,0.9496502636819887,0.08798100985586643,0.9893210219683329,2,13.583089515848743,0.0,0.056295957268780165,0.11720003649161606,843,4.215,0.40171250000000003,0.34538495540618896
173,-2.4789018064052057,0.07484317198395729,0.9891049052405151,7,23.68433143564303,1.0,0.018064790003655747,0.03829397814982418,850,4.25,0.401735,0.3639771682875497
174,-3.380908184916284,0.0809337847999164,0.9888888357232983,7,45.662814105686245,1.0,0.06167777237486511,0.038318648156472006,857,4.285,0.40177,0.3357455389840262
175,-3.000201972386982,0.07710387078779084,0.9886728134063695,7,35.13234580722393,1.0,0.026926512595395913,0.04505093110994834,864,4.32,0.401805,0.33494806715420317
176,-3.1403811681843683,0.07488044191684042,0.9884568382794177,7,34.925864074191416,0.0,0.0168561074367212,0.049969760158499514,871,4.3549999999999995,0.40184,0.35126221605709623
177,-2.6419315898800675,0.07283341245991844,0.9882409103321341,7,49.2662480259558,1.0,0.018041653972178644,0.04804047401383734,878,4.390000000000001,0.401875,0.354327244418008
178,-3.13717584927993,0.0720931924879551,0.9880250295542126,7,31.49469191589412,0.0,0.02428329693689572,0.04725272597604059,885,4.425,0.40191,0.31702573384557453
179,-3.476836821416693,0.05651515855320862,0.9878091959353489,7,33.40299161790189,1.0,0.03389709066892213,0.026351459061354617,892,4.46,0.401945,0.3141279263155801
180,0.863750079944883,0.0652422122657299,0.9876858836083452,4,17.805219230320255,0.0,0.03332397350423549,0.07332521559888605,896,4.4799999999999995,0.4019725,0.3151394724845886
181,-2.8637657310217692,0.07151491035308156,0.9874701240757595,7,42.44686070430496,0.0,0.02064450219943561,0.06554059191610642,903,4.515000000000001,0.4020000000000001,0.33408000213759287
182,-0.5492628220323383,0.06837461622697967,0.9872544116757456,7,17.93379545913932,1.0,0.06268726017320105,0.05771572820536664,910,4.55,0.4020350000000001,0.3342986873217991
